Metric,Values
RMSE States Per Variable,"[0.3581759792792485, 0.2621116242906632, 0.0400484727131842, 0.03356134814843235, 0.018150996412044047, 0.01605810547623995, 0.0018486207787561885, 0.07502029263358864, 0.162048686042864, 0.3262744845890395, 0.05341628611032959, 0.18351224615046088, 0.340271368194461, 0.08495301807483469, 0.17328078750959974, 0.24256658980493936, 0.06137803138931601, 0.18909156741871508, 0.32949993571121955]"
Total RMSE States,0.19670254266121392
RMSE Velocities Per Variable,"[0.018420004324226618, 0.1352832367715563, 0.0715085026065463, 0.07072249480515114, 0.043857644543784824, 0.1284270273314974, 0.08773575754953022, 0.24876357128774232, 0.07187526655446268, 0.22394885397822423, 0.24198716084415164, 0.27061620885481696, 0.6155777508776457, 0.2764103609859354, 0.5350205952373354, 0.09745789181328321, 0.4706763926614941, 0.8429716082932622]"
Total RMSE Velocities,0.33225534470250695
