Metric,Values
RMSE States Per Variable,"[0.02392554489169452, 0.008286913913887693, 0.003866364026551673, 0.004348290788606501, 0.00457744133123036, 0.003401655440877333, 9.973765115893088e-05, 0.008254931984646894, 0.012415254200271742, 0.03754707543370608, 0.008743993740194802, 0.021880932968244574, 0.04862408757921222, 0.014895374902514726, 0.022146874657634565, 0.04129234898434978, 0.01926675597253975, 0.016367657209507135, 0.05375224449430084]"
Total RMSE States,0.02428441268735059
RMSE Velocities Per Variable,"[0.0009408347719751466, 0.0033485226017875964, 0.0345220240878683, 0.7041630241719415, 0.22502403041013044, 0.01501210544237114, 0.7124876160200625, 0.10849994493204398, 0.06998102260732622, 0.7051715390448183, 0.14093193825605063, 0.20472827114122844, 0.6779068094407211, 0.6890136052461744, 1.2325538781211662, 0.6829121465337533, 0.7163640677892041, 1.2218422521734036]"
Total RMSE Velocities,0.6035631509827413
