Metric,Values
RMSE States Per Variable,"[0.050281931358223626, 0.06295510336541008, 0.10457586692374925, 0.1721659532278097, 0.02582338361939697, 0.0415963774726092, 0.036331999428042924, 0.2870077708878766, 1.0409690253102082, 1.1137612533190377, 0.42187504721842173, 0.8693336020145506, 0.5362042417532987, 0.5957160279463531, 0.6056258085867787, 0.5441477359080708, 0.3795181222452005, 0.9694206098814026, 1.0639922928172887]"
Total RMSE States,0.6031549251164013
RMSE Velocities Per Variable,"[0.07711943687074785, 0.07178938547409604, 0.13862243330529767, 0.3167236649669868, 0.031039790585813236, 1.0981414841628367, 3.4971992537850096, 0.5629158467947426, 0.20699467084671486, 3.0127019854688712, 2.8546813758309106, 2.706393304901858, 0.5107981145984486, 0.11680382167283702, 0.8118396404317014, 0.40944644248790174, 0.670554586161174, 0.12975796885426458]"
Total RMSE Velocities,1.4915604280227635
