Metric,Values
RMSE States Per Variable,"[0.05540413265744562, 0.4461258628255633, 0.10573372507079289, 0.4551079274210563, 0.036724408492049276, 0.023325937964048634, 0.4659086847961172, 0.4300055060855866, 0.9663187036296348, 0.7558200799650318, 0.40394802432870625, 0.5187619194037033, 0.643616457643516, 0.35104062166710037, 0.4117462625047371, 0.48154781798800667, 0.2735131466103898, 0.4256647315912689, 0.356293689965547]"
Total RMSE States,0.4635919815368019
RMSE Velocities Per Variable,"[0.29355101590840704, 0.41326330061639904, 0.05978077598910779, 2.0706419633442033, 1.2669357200284599, 1.486296336718836, 9.437237439483955, 1.2191024348585753, 4.449308954930714, 8.39832477973438, 1.177918719775771, 4.4225621144574685, 1.8495839471600253, 11.007433337461338, 10.273763926074178, 2.455807368297, 10.168161489683545, 7.171911279991433]"
Total RMSE Velocities,5.779168991701837
