Metric,Values
RMSE States Per Variable,"[0.28578150495686216, 0.15130095256026135, 0.014130681288660548, 0.0034077023720767868, 0.00222238171405453, 0.0019164689490335774, 1.9987036959423193e-05, 0.04421025854394197, 0.1035608210773578, 0.14974600002907243, 0.018928785732121464, 0.034472302851267504, 0.08276496915243757, 0.01750116949121129, 0.055070474753686954, 0.09944449812409704, 0.01616828227963081, 0.060501067964896744, 0.09037325738793739]"
Total RMSE States,0.09558690068281546
RMSE Velocities Per Variable,"[0.02642059311242633, 0.00217634406044968, 0.019059208941630178, 0.023900875708462815, 0.022045455330046555, 0.01158686911558287, 0.07394484022968995, 0.3577972283919833, 0.4980279267765055, 0.0037563789405031557, 0.0006938191348237589, 0.20648624477557026, 0.017164863370273283, 0.050963987552932646, 0.1182758640845477, 0.5711517329838939, 0.15757616721774342, 0.14919925904166087]"
Total RMSE Velocities,0.21299626107133426
