Metric,Values
RMSE States Per Variable,"[0.15897179279115847, 0.08212299661744361, 0.01725311207393751, 0.03977047239878292, 0.010872268301809108, 0.006616495606372156, 0.0016960155046388107, 0.07794669082070714, 0.1289652067974906, 0.15745325692857545, 0.07835286143303233, 0.08129097349724508, 0.11367417134970748, 0.08479826734561974, 0.07483901799849466, 0.11815306645310142, 0.09605397029626138, 0.1323673206675056, 0.13409473771933947]"
Total RMSE States,0.09698332240389454
RMSE Velocities Per Variable,"[0.14405341017713252, 0.16609406350699246, 0.06749317953342676, 0.8419966839738517, 0.3283135259686293, 0.020835964701127807, 0.6144544292748383, 0.2870602829788349, 1.565424379161142, 0.9455473997186826, 0.1930581590137659, 1.7789135484387062, 0.19810998935764937, 1.3288983951473607, 1.0130502514634179, 1.6115185414777031, 0.9880137309262974, 0.9745041020023244]"
Total RMSE Velocities,0.9198660251909706
