Metric,Values
RMSE States Per Variable,"[0.028995979121571223, 0.10348406946526652, 0.012458568583872426, 0.00788492826025216, 0.0035239636075584833, 0.0022781295278687993, 6.624069058522779e-05, 0.02294191058004934, 0.0731460182578334, 0.11629833450268641, 0.04028838641818208, 0.06668592225341101, 0.06763701902594701, 0.01891105730461842, 0.0489915691557443, 0.10174819446181418, 0.02917678999499849, 0.05264858821709936, 0.09817201824268736]"
Total RMSE States,0.05991354633088179
RMSE Velocities Per Variable,"[0.0018457536218902655, 0.007429381895719619, 0.00043341626233567526, 0.10708082971539493, 0.07017887832854662, 0.0037582746518403233, 1.117308829279194, 0.07393635770050756, 1.5122003294074806, 0.1625642695151215, 0.07469057101195298, 0.06753305445298506, 0.14378177578990473, 0.15224537487968437, 0.11921307629246329, 0.14136368911054073, 0.6556712108090935, 1.862567308000504]"
Total RMSE Velocities,0.6485340430005576
