Metric,Values
RMSE States Per Variable,"[0.030442046666446156, 0.12438341040045046, 0.01178996440432631, 0.008831171185193692, 0.003832497568004456, 0.0023151881612722878, 7.875641189432183e-05, 0.025848972916803596, 0.07012924251113174, 0.1153496881798794, 0.0425605465496524, 0.07769695776827786, 0.06548719910164476, 0.02148986761862231, 0.04825876319887098, 0.1025741862817647, 0.032511621013554697, 0.05214608057392071, 0.0945186947198433]"
Total RMSE States,0.06227519933958825
RMSE Velocities Per Variable,"[0.0006324954835086709, 0.00662451103696257, 0.00707496731145383, 0.07616303620082922, 0.07797742642145306, 0.005871766277086857, 1.2395389665040555, 0.35449439567038776, 2.034024588981056, 0.13599712208209194, 0.09828506858543402, 0.10866872815753278, 0.10547668345686431, 0.19244427017511068, 0.19235070306983262, 0.07369063892369422, 0.6991952997773324, 2.091070502564939]"
Total RMSE Velocities,0.7747183168444732
