Metric,Values
RMSE States Per Variable,"[0.15108416614163525, 0.02359710946068134, 0.06921255019454105, 0.12199783180109018, 0.04332904516085694, 0.01684334394769819, 0.020875823019761267, 0.3175312345458029, 0.5476853419251675, 0.5191620206036156, 0.26334661659091874, 0.38206587823698246, 0.6093540809099667, 0.27793673404936803, 0.48423339818194144, 0.5877407592637355, 0.3134399970222482, 0.46624178120542104, 0.49612803178162734]"
Total RMSE States,0.3642978655206882
RMSE Velocities Per Variable,"[0.7439662149452373, 0.12776632074564379, 2.0331790200349076, 8.969272628944012, 1.5654436817464799, 0.889657434634379, 13.021053387900736, 6.5901341744008946, 13.892818377118314, 1.2684653391271434, 3.3536148187908124, 12.073297814282157, 8.019612605549108, 2.129466221521189, 0.5975509390025144, 5.393540753823318, 3.878678762213605, 0.5245977835914751]"
Total RMSE Velocities,6.5260906076910485
