Metric,Values
RMSE States Per Variable,"[0.17194592260771407, 0.03827218884700103, 0.015278648524675097, 0.022820628084090626, 0.014338192070623831, 0.013512001048205147, 0.0013679849229732048, 0.10616120375256974, 0.23141517870311376, 0.1533850919108683, 0.08377201829638313, 0.226819352346875, 0.18512269165921055, 0.07690901331089009, 0.18059967918790848, 0.15544960171387964, 0.1060774684259168, 0.1965192117676221, 0.1563388490844855]"
Total RMSE States,0.13577645058304028
RMSE Velocities Per Variable,"[0.06195582960944479, 0.012604972867631679, 0.015144361806586518, 0.5175181884688113, 0.627723822203551, 0.14171460172583747, 0.28359101325364083, 0.6267942299466333, 1.2969286005581464, 0.8662637442215627, 0.9721275709602587, 0.1242685230892801, 0.68015581507163, 1.9260967284487436, 2.424615340029107, 0.504382060519939, 1.4401881670519319, 0.7936478528096845]"
Total RMSE Velocities,0.98775892533954
