Metric,Values
RMSE States Per Variable,"[0.023925536258694053, 0.008286918603169682, 0.003866361252529256, 0.004348291150779682, 0.004577440862192791, 0.0034016567706672673, 9.973763120586952e-05, 0.008254932286436482, 0.012415247473691682, 0.037547063721782424, 0.008743994599267203, 0.021880929519076213, 0.04862407234391921, 0.01489538001990654, 0.022146879366402375, 0.04129232623581303, 0.01926675989202084, 0.016367656639578336, 0.053752228066787845]"
Total RMSE States,0.024284406012817405
RMSE Velocities Per Variable,"[0.0009409360884294771, 0.0033484800705537365, 0.03452248730702172, 0.7041622632299652, 0.22502284171700743, 0.015012193241832048, 0.7124869276443984, 0.10849872207518844, 0.0699831177762485, 0.705170565602355, 0.14093305995206848, 0.20472519792678096, 0.6779058510112291, 0.6890134493995274, 1.2325553859754645, 0.6829111576608159, 0.716364492401342, 1.22184560363823]"
Total RMSE Velocities,0.6035633723667552
