Metric,Values
RMSE States Per Variable,"[0.17279652341461835, 0.15978378615834118, 0.04836081223086553, 0.03151330463736986, 0.017915769278718182, 0.008754274964682288, 0.0016123548686770327, 0.06381933707994793, 0.14053444272975033, 0.32172216647192964, 0.07341198217613572, 0.1582185551591166, 0.3422851259151743, 0.09329579956923822, 0.12414742611895838, 0.29222249383127163, 0.07376566358345632, 0.17700671039547006, 0.36448543716100695]"
Total RMSE States,0.17964352871368505
RMSE Velocities Per Variable,"[0.104772540762408, 0.15322378829541608, 0.06931282219327399, 0.22687495104843527, 0.28299985937853744, 0.1261987855217702, 0.12772554182098925, 0.20906077938827122, 0.8864756770547122, 0.4328103600335101, 0.04523408337449946, 0.7653324610957364, 0.04207867138204731, 0.30793643708136287, 1.0257935737700976, 0.9396902636135307, 0.8023760179691897, 0.1268355838960804]"
Total RMSE Velocities,0.49997059278666023
