Metric,Values
RMSE States Per Variable,"[0.08410160221593191, 0.11647036778636072, 0.01401670348219745, 0.004111222426331385, 0.002702149592068151, 0.0024431031687041737, 2.9806764022435313e-05, 0.042049712823961916, 0.10006118041715646, 0.14915806993936492, 0.03699833999666794, 0.05857140709797834, 0.11220187774832693, 0.014415268708238452, 0.057475495311484145, 0.09747893320160478, 0.015542411154618203, 0.05297349065030044, 0.08427864956148999]"
Total RMSE States,0.0708766113499563
RMSE Velocities Per Variable,"[0.003131102082815224, 0.0005166652420615307, 0.02801227563612543, 0.34439125671020554, 0.054016923225183436, 0.007353222120358621, 0.3517310187455604, 0.22514662481471792, 0.46669300492284954, 0.35303648002745003, 0.04293465207566027, 0.1809142537651507, 0.36911803123657205, 0.09839711066030812, 0.31919788392814513, 0.129268633855093, 0.14608084755649267, 0.3573296763737066]"
Total RMSE Velocities,0.24577994533991276
