Metric,Values
RMSE States Per Variable,"[0.05502715987101096, 0.05220912683790448, 0.010968558844682811, 0.002930002272229676, 0.001796799447173717, 0.002026039055582683, 1.2397811059910312e-05, 0.015114080990717593, 0.0714090363602236, 0.095730530133673, 0.022227623967891758, 0.0560475642775761, 0.07826132235515162, 0.01826156221727192, 0.039127496917992596, 0.05622865499984943, 0.02175962370501043, 0.07971593175971971, 0.0893719417432511]"
Total RMSE States,0.0512906182189657
RMSE Velocities Per Variable,"[0.007451775596937823, 0.00737235895343686, 0.006014978527433002, 0.26992649148669096, 0.06380166939086854, 0.0025647692065768413, 0.9139277710649095, 0.17877619937207517, 2.8369779531047103, 0.2828900907706609, 0.1492065215536376, 0.11015682747318317, 0.3017738157344349, 0.1330577373886281, 0.08431518241189603, 1.14086145171251, 0.24756387115366618, 1.2277016906726503]"
Total RMSE Velocities,0.8196598663177322
