Metric,Values
RMSE States Per Variable,"[0.07521091673889051, 0.02436318630482831, 0.03602975146508528, 0.015209126920631954, 0.01053008867045944, 0.011622881870155555, 0.0004364207046360536, 0.10559789046324207, 0.1976516810270419, 0.261651019651234, 0.07438059087695939, 0.09582972516290132, 0.21424590787616143, 0.057750836600142984, 0.12937682075090598, 0.24375264610666633, 0.12108611757777302, 0.15532794044974377, 0.26325269591679634]"
Total RMSE States,0.14046929226968616
RMSE Velocities Per Variable,"[0.005366209088087, 0.010768435909812238, 0.027391889985028308, 0.3087222674369273, 0.004931591028619616, 0.09233067495279493, 0.3196662962869965, 0.07467520074346347, 0.21610981835763773, 0.21655469441674058, 0.3156363429815012, 0.49525851020964146, 0.2474950114202977, 0.08302031100602528, 0.15953238567085887, 0.1814018570772611, 0.29896674441477633, 0.4822889896075205]"
Total RMSE Velocities,0.24715161166723504
