Metric,Values
RMSE States Per Variable,"[0.15006269638376166, 0.10459208451468809, 0.027640634543451774, 0.018006817804098338, 0.021619073061314803, 0.008372588845968268, 0.001180632771550748, 0.040724685075663604, 0.17789488594307498, 0.26580901973736465, 0.029425958135263226, 0.17519505398400462, 0.28316137339518904, 0.03974220536156288, 0.1935557570460458, 0.2561910469811291, 0.05038427346515218, 0.22741751453994255, 0.2937264130882902]"
Total RMSE States,0.16157028152099273
RMSE Velocities Per Variable,"[0.4973968367010162, 0.44692944668454937, 0.3358330613378704, 5.9347959916349735, 0.47903791889296127, 0.7041203286691519, 3.2907571754082015, 3.439478318014729, 4.212475137057728, 4.121573601788718, 0.8750622995646276, 2.798276514523978, 3.1577319934000467, 0.9106727005350268, 3.348090635176445, 6.304520161960639, 1.2159303647149353, 5.462655446112113]"
Total RMSE Velocities,3.2962172543096186
