Metric,Values
RMSE States Per Variable,"[0.13175614975290428, 0.08961211987862845, 0.03871873902345543, 0.01751010887998102, 0.025131462568767624, 0.008643333135919692, 0.0008222066521585671, 0.06873189821081788, 0.25316654832860375, 0.3551000545267034, 0.10547245023272726, 0.11382042708690619, 0.21629808926422137, 0.06983266111119397, 0.15988350189775727, 0.3303351297317069, 0.09934089108669743, 0.1687074942186715, 0.3297780697758722]"
Total RMSE States,0.17476685026914232
RMSE Velocities Per Variable,"[0.06407616155776127, 0.717751784728791, 0.18205913432279922, 0.19715839714995698, 0.14181398030154074, 0.01085371945712532, 1.4688842515371296, 9.058024043338206, 0.28752352438537776, 2.252652396254701, 0.08158795777832203, 0.3494611480921456, 1.525425133069309, 2.165308325866701, 0.6658241852963276, 1.3103305549632733, 0.34558681674761027, 0.2874447414822219]"
Total RMSE Velocities,2.3508941191071466
