Metric,Values
RMSE States Per Variable,"[0.04043124451578878, 0.011790969508363579, 0.03182656866856098, 0.04194613158080732, 0.021853314015574294, 0.014330602755957846, 0.0017598067463969601, 0.2197214390505018, 0.2893313089053565, 0.23820171043563043, 0.0837414994124009, 0.15502970531954988, 0.19823321291360618, 0.08916464674562027, 0.17190905387160324, 0.260159201646868, 0.07935940647622722, 0.15128282403752252, 0.2579866038817872]"
Total RMSE States,0.15647985266579942
RMSE Velocities Per Variable,"[0.04640986296872097, 0.08326804253655488, 0.5897748819977235, 3.8107737068176992, 1.6915463041806167, 1.5941230483166982, 7.4487776549105345, 0.17834570180915604, 9.661408109092696, 4.0226143028249846, 3.6313778565743977, 13.981113628694713, 1.093129612751401, 1.9353291249847682, 0.9362923439006066, 1.1725959113858297, 1.5690796501233724, 2.365321172960098]"
Total RMSE Velocities,4.768117831809481
