Metric,Values
MSE States Per Variable,"[0.0012791640386819094, 0.003221653692222184, 0.00018480755227381793, 5.420719807506277e-05, 1.5770180333144765e-05, 0.17878905248830745, 0.014295449825587881, 0.0076878577723236705, 0.01146031112639913, 0.027720852288751607, 0.07261272790944533, 0.007660803029434454, 0.02030501681040289, 0.04992063408124233, 0.012728929718367534, 0.013160164637246547, 0.0058296953527851554, 0.004831502484736001, 0.006982421559454811]"
Total MSE States,0.023091632723477418
MSE Velocities Per Variable,"[0.012071255129969753, 0.005184920472804916, 0.007273834267657505, 0.22568427701833882, 0.18623568631062423, 0.09622676302465646, 0.015750343867701577, 1.3106611771057803, 5.582732229539773, 0.166759539358011, 0.013896709372398206, 2.5231775063512005, 1.1264451117555412, 1.5202317602737094, 0.05479789419796824, 0.07555988806206415, 0.11892937323655216, 0.983276549633984]"
Total MSE Velocities,0.7791608232765964
