Metric,Values
RMSE States Per Variable,"[0.09835883367908888, 0.039389457772480374, 0.015985706523693514, 0.003666428020096203, 0.0029131378505383317, 0.0020898699889824375, 2.1274948226120842e-05, 0.0323069113645583, 0.11109866027512498, 0.14915447767747037, 0.031843132246134276, 0.0973261707885846, 0.1340935810721581, 0.016162197201520914, 0.055613181448046625, 0.09049562720150706, 0.010161687302558542, 0.07619029446642296, 0.10469157234371747]"
Total RMSE States,0.0739918348449966
RMSE Velocities Per Variable,"[8.104869304762766e-05, 0.011994645502298609, 0.030632244781072994, 0.12857527834943977, 0.03644608837186126, 0.02232629188388839, 0.7960294048227232, 0.5234367056585294, 1.3354130034589615, 0.0892489798257456, 0.08427591296529434, 0.22498474997873083, 0.10813003087931101, 0.09748852770410968, 0.27714465647842584, 0.4407500030544453, 0.0021088783012017335, 0.8831372426692873]"
Total RMSE Velocities,0.46237940831246943
