Metric,Values
RMSE States Per Variable,"[0.05381027441539128, 0.037132983208881094, 0.03998846716447885, 0.028732609147724998, 0.014402173599003622, 0.010745086960441423, 0.0012049225252923248, 0.15100114966755476, 0.25036947443633106, 0.30162489913311363, 0.07942879397040802, 0.15329178570446023, 0.27163759426834166, 0.10033627282568787, 0.15894854356465532, 0.3210728493464875, 0.12822560825861123, 0.15809252031211402, 0.2791242106898778]"
Total RMSE States,0.16934030239163012
RMSE Velocities Per Variable,"[0.06364191560297547, 0.016249218462797126, 0.14875568324292607, 0.18461105856154642, 0.05441295095364992, 0.007129219064791742, 0.14024285087699906, 0.6562904232136572, 0.9835959735626907, 0.2862092463164482, 0.39426056573449886, 1.197409485067783, 0.5996256414297196, 0.20452184709249846, 1.5319684319267082, 0.17975477975578605, 0.5856729399201145, 0.8833469633535984]"
Total RMSE Velocities,0.626119532534225
