Metric,Values
RMSE States Per Variable,"[0.03793032162826649, 0.00699167472526774, 0.017249282217430533, 0.005572718320700089, 0.002606111114041333, 0.003177300479529716, 4.1918569063265674e-05, 0.018565888455237073, 0.09176720577765292, 0.14336465441965063, 0.036530772274476916, 0.07284114996459527, 0.12397638468534795, 0.01787373203732926, 0.06186922069825148, 0.12077259421416936, 0.03555913991330442, 0.08604591288238968, 0.15317197698800086]"
Total RMSE States,0.07399366322049425
RMSE Velocities Per Variable,"[0.012081799664806044, 0.024015806258811043, 0.022376167308424115, 0.3568287471813085, 0.18361391732165613, 0.09842649880323885, 0.3522485898853993, 0.13173789885161474, 0.5026673853140504, 0.6936383980327618, 0.6781638478279073, 0.301792048027605, 0.09100750799241036, 0.36949550187897107, 0.2299215465590707, 0.2185820586517817, 0.40153448139756964, 0.32686133592191685]"
Total RMSE Velocities,0.3425151202784378
