Metric,Values
RMSE States Per Variable,"[0.07615588184659038, 0.023934773070383653, 0.05329483210230327, 0.08453696293579534, 0.03905046945941763, 0.0368469831764114, 0.016480403635052134, 0.3816007110602785, 0.17682837927010414, 0.35393523016991296, 0.16594132199268535, 0.2785151433394341, 0.32929000480453313, 0.16086494624674733, 0.2545539219446404, 0.39518984149531167, 0.1713955725029669, 0.2944336807186535, 0.32270855220737776]"
Total RMSE States,0.22967585825224712
RMSE Velocities Per Variable,"[0.06505464839015401, 0.6946539582502258, 0.025747489865989934, 8.588161069917003, 0.8721997974144925, 4.251513321111413, 2.867567379874373, 10.591725769212951, 4.459256077221961, 8.18702926419755, 29.001431233438147, 4.266335659740154, 12.732673729982862, 9.854309067362763, 9.89536390810037, 37.01996371637525, 80.51439478518812, 10.105263784406025]"
Total RMSE Velocities,22.939525742683625
