Metric,Values
RMSE States Per Variable,"[0.13455029438655283, 0.0430849850447047, 0.0365393745569395, 0.03677395634943498, 0.027628645684185025, 0.007667611854971551, 0.0025735596082270785, 0.08694703727024283, 0.2302608319084959, 0.24378104672923698, 0.0871818271385203, 0.19161060236840852, 0.27333026011324246, 0.09956608789466098, 0.14573786071139216, 0.23216430973352012, 0.08899170105127911, 0.2025497202738862, 0.22584390234132432]"
Total RMSE States,0.1534711774073241
RMSE Velocities Per Variable,"[0.21427593933794267, 0.034250035251074326, 0.48938535928432825, 2.5611530102583333, 1.3223384873465727, 0.1910046316989027, 2.3281497753592943, 3.5887815447120284, 1.3739611209057387, 2.0783583380457964, 3.3472595959598834, 1.7252341395589412, 1.0705954854585045, 2.3693992494630045, 2.541490013544477, 5.619792915109063, 7.166414320210904, 3.3944024836100857]"
Total RMSE Velocities,2.9344660901643445
