Metric,Values
MSE States Per Variable,"[0.001914015203028889, 0.0027643465042921237, 0.0003200854415383142, 0.00027527867176475423, 6.155148955288832e-05, 5.2533369366504085e-05, 4.1312353539552804e-08, 0.0021466040499539154, 0.015167155602009572, 0.01854597662981108, 0.026292082527079617, 0.06648694963724874, 0.08412604042248703, 0.0016606745934313351, 0.007234993886288804, 0.0139866441016881, 0.005147813441571406, 0.02169149000869479, 0.02571894202120533]"
Total MSE States,0.015452274679650883
MSE Velocities Per Variable,"[0.0028279991525259193, 5.218436864128597e-05, 0.006654141315544578, 0.06488449147306782, 0.08126555637792174, 0.005674553913610962, 0.09554167612566766, 0.4358198921697527, 7.860789963130274, 0.19947363934621282, 0.000867415021993127, 0.03173398516977863, 0.09330337158769583, 0.0207722403068033, 0.21595587072875144, 1.0558100135567363, 0.4172625160956392, 4.227577434647761]"
Total MSE Velocities,0.8231259413604656
