Metric,Values
RMSE States Per Variable,"[0.010468241152314818, 0.0014109868297044303, 0.004311494710134729, 0.004481679862714895, 0.004432696371748905, 0.0021636944571872857, 0.0002753232732784389, 0.02017686447095257, 0.012377522726953026, 0.038292729846324904, 0.010524006146694732, 0.014921144140227426, 0.028654868353490244, 0.015463661347958712, 0.028935217588716897, 0.04673276972727674, 0.011033581005407685, 0.024538721916141204, 0.04150428020310032]"
Total RMSE States,0.021839861975721186
RMSE Velocities Per Variable,"[0.006407758701637956, 0.002924232112494286, 0.00657231546597595, 0.2808664142283947, 0.054596924491803804, 0.0007222997033626709, 0.17701258419018592, 0.004825771452178048, 0.06120515651227651, 0.3091458076613774, 0.022490862591199947, 0.12984745797936953, 0.2857319220634643, 0.19659578164580588, 0.18740637147659397, 0.26721830044158773, 0.10584256264611072, 0.044543839346324846]"
Total RMSE Velocities,0.16159043610157922
