Metric,Values
RMSE States Per Variable,"[0.3950528379985723, 0.234601780484394, 0.040758397364841485, 0.03975484670421583, 0.018502964891170537, 0.017009363228572497, 0.0024979388397272954, 0.07805900313679427, 0.16871950268247363, 0.34156317785887175, 0.06726744296128882, 0.1945447340894564, 0.3490825032841519, 0.09147176969427667, 0.1864440967100484, 0.2620645108543495, 0.06743892796352377, 0.20057849587398252, 0.33393109585066605]"
Total RMSE States,0.20500788237864825
RMSE Velocities Per Variable,"[0.018097729389867222, 0.1341733810578419, 0.07270204397506343, 0.08093278706251711, 0.04597228816765132, 0.12782430622576604, 0.07561588676716442, 0.24366425650415163, 0.05442596794450544, 0.2048658287109965, 0.24271196670422124, 0.2730251120517179, 0.6326577769220693, 0.2751342647046919, 0.5572197913155308, 0.11693989613152365, 0.46107811263573745, 0.8299019911017955]"
Total RMSE Velocities,0.33279507963932614
