Metric,Values
RMSE States Per Variable,"[0.16877834158065946, 0.042366028646201565, 0.014100386621043558, 0.007215280005013191, 0.0024664855264512355, 0.004882958907515388, 5.446227128269589e-05, 0.053547251446643185, 0.11740301918934284, 0.15516474914148698, 0.042203849405642806, 0.10760819955755993, 0.14945297468516755, 0.021757057015906852, 0.07316505807103332, 0.07701529875965576, 0.037884249533560024, 0.11138282470402024, 0.15924645733101522]"
Total RMSE States,0.09117485029505998
RMSE Velocities Per Variable,"[0.02130681552679795, 0.03246793336162951, 0.023810932046396206, 0.8357837418128552, 0.14527207814542703, 0.04824450711337347, 0.21103486033731453, 0.2522335942126006, 2.403427563219894, 0.9301370189191283, 0.3212376394285435, 0.2569876815494947, 0.9768091931730799, 0.34937202491921804, 0.23627455727352695, 0.7281333235702658, 0.10793162598727478, 0.4965220804928887]"
Total RMSE Velocities,0.7289054968646254
