Metric,Values
RMSE States Per Variable,"[0.0335869033637842, 0.07054128055553296, 0.020275440631465965, 0.04706404342520725, 0.017200301327006267, 0.019118722385044033, 0.001966396175655647, 0.12836627537794626, 0.14742152249317528, 0.2566720537068361, 0.1280368870857192, 0.1866758451717465, 0.23048411760311627, 0.09274652846237746, 0.13902247388552216, 0.15076158891338245, 0.13929934176468636, 0.17003536310733236, 0.24396216075058888]"
Total RMSE States,0.14073928799412175
RMSE Velocities Per Variable,"[0.31813353542549205, 0.05470194044397278, 0.09342561473762538, 0.4910750293881999, 1.3855962987699728, 0.3908533775515142, 0.7677303872139717, 1.0503863193715264, 0.3742382226857268, 0.5851711691976917, 0.980480079648089, 0.9434234074390332, 0.5113545311867708, 2.0761056740758357, 2.2348453561091826, 0.12119498216867436, 7.865653900559587, 0.1774133158158359]"
Total RMSE Velocities,2.0807881059391224
