Metric,Values
RMSE States Per Variable,"[0.05576292217805465, 0.05372909322483959, 0.006002613576955487, 0.00902268714934114, 0.003866190726705328, 0.0014053445958164199, 0.00014158114659276733, 0.0224381517811201, 0.07028815429171159, 0.07349782297539127, 0.010817747574236704, 0.04076852710684252, 0.07386605823196693, 0.01687296830510785, 0.05488012352542413, 0.05896626683224849, 0.013951476996777162, 0.024298553211300207, 0.06410608470265419]"
Total RMSE States,0.04345597718096478
RMSE Velocities Per Variable,"[0.033909358758591114, 0.020042010445968286, 0.08350543196496335, 1.2147008838736153, 0.275784059282777, 0.07799928899405587, 1.4840085878218625, 1.8946286088148994, 3.5732509878752015, 1.2474518111193909, 1.1350392605093609, 2.54103779547456, 1.2806394676648971, 0.07900065534373756, 0.5443743481302182, 1.2678561265006336, 0.3326302951535991, 0.1912949894400985]"
Total RMSE Velocities,1.356564827881811
