Metric,Values
RMSE States Per Variable,"[0.08000847297293409, 0.01759373755632252, 0.016847928454012704, 0.0029736320626968515, 0.0016533230386422042, 0.0025401865118475724, 2.1850969728667845e-05, 0.01362086211225791, 0.08882635867777301, 0.14239389375203204, 0.02153925159980096, 0.07779799890617357, 0.12306401041058661, 0.03130220284839318, 0.059681449334767774, 0.09911044069763071, 0.03090132529685214, 0.09157752755068399, 0.14277085430134462]"
Total RMSE States,0.0729509934964058
RMSE Velocities Per Variable,"[0.017479149012715852, 0.011709653428667689, 0.03831603891921325, 0.012812565615519722, 0.053889276383199604, 0.02198744432100889, 0.794415587276286, 0.35792675253218353, 1.4829319158932457, 0.013506081557829099, 0.17380790766326557, 0.37391703467009585, 0.0482987066429083, 0.1257925883460803, 0.24846414718852264, 1.2058963164396184, 0.012374017392407401, 1.508553703491187]"
Total RMSE Velocities,0.6211068531715216
