Metric,Values
RMSE States Per Variable,"[0.005696956311072858, 0.035547047639874915, 0.011235984615284743, 0.0022668962920722575, 0.0014531578737270814, 0.0025168978513814763, 9.997255862618865e-06, 0.01947104754991279, 0.09145008380411351, 0.10254772497587265, 0.016493522451639715, 0.022145842471409886, 0.059030948120537906, 0.010012551185336864, 0.050560976480764214, 0.07197634414104805, 0.017886263701062482, 0.0827939498200399, 0.08898951096210676]"
Total RMSE States,0.05019563346058557
RMSE Velocities Per Variable,"[0.016758471598146682, 0.003098830602684782, 0.0032480192701544574, 0.6611825984184123, 0.1348557099420935, 0.02520399586444062, 0.6627030009219697, 0.5185401038783176, 3.5532698554598126, 0.6259587622983529, 0.2261807969273705, 0.07231100806542896, 0.6677916872955941, 0.17145327410440342, 0.03719483590880942, 1.5082255312943402, 0.34453610219210634, 0.7864506384199924]"
Total RMSE Velocities,0.9923865990281463
