Metric,Values
RMSE States Per Variable,"[0.2642123925176589, 0.06319282637332467, 0.012696592848291192, 0.0041146050131269625, 0.0023662466692961764, 0.00244202501864538, 2.798315640082156e-05, 0.03297372684208713, 0.09236486083029667, 0.13155403480256517, 0.01936912485597285, 0.024921099835613535, 0.04378458690512744, 0.009434291778756402, 0.04416255722704472, 0.08385500563011589, 0.013772094346932173, 0.07207195642363051, 0.09016488828199104]"
Total RMSE States,0.08156827133198534
RMSE Velocities Per Variable,"[0.01574717180572395, 0.0015882493008410818, 0.01712696708258095, 0.2168587710089196, 0.026793033674768017, 0.01584165974855392, 0.8045628994166911, 0.5064527690953745, 1.7884913573252352, 0.19589287407456438, 0.031786837128830826, 0.08276676630304393, 0.22974895195807138, 0.007184077407179272, 0.055136680717722764, 1.0629345483655634, 0.1858770662691326, 0.6444928915770576]"
Total RMSE Velocities,0.5692548643905257
