Metric,Values
RMSE States Per Variable,"[0.09987480636990424, 0.10749820455642956, 0.0038037936588803793, 0.012810225919638065, 0.004002086000499181, 0.003585993760305792, 7.99577831665298e-05, 0.02863557772399894, 0.018265470086333613, 0.0523816856971434, 0.025832120523788242, 0.044565766228735496, 0.05669001072673174, 0.028587203965895813, 0.02676449787550157, 0.03909649749538069, 0.02323594763705324, 0.02846836735580852, 0.03965641381363688]"
Total RMSE States,0.044419064864955365
RMSE Velocities Per Variable,"[0.07749934485826615, 0.05034511844389297, 0.04131359700023671, 2.2998064211781464, 0.2853866404076071, 0.06059867780920134, 2.3033515655606687, 0.23327612184479649, 0.8125572959606225, 2.5512512407177654, 0.13664257504143507, 0.9367976225735463, 2.588085280288992, 1.4273394717655272, 1.851813354095806, 2.5424245658454048, 0.9646180047446926, 0.9299264625581758]"
Total RMSE Velocities,1.4763615974357176
