Metric,Values
RMSE States Per Variable,"[0.09987502259120498, 0.10749734653711769, 0.0038037888579413683, 0.01281011468284785, 0.004002087113634407, 0.0035859653269629988, 7.995629529590953e-05, 0.02863543225695986, 0.018265547239427814, 0.0523816489395885, 0.025831991388926393, 0.04456570538561385, 0.056689853189649926, 0.02858704596912308, 0.026764504992500156, 0.03909647433513519, 0.02323576677589769, 0.028468354281791158, 0.03965629022387598]"
Total RMSE States,0.044418938617190366
RMSE Velocities Per Variable,"[0.07749998614609373, 0.050344159236803784, 0.041314078218629306, 2.29976791768075, 0.2853893146771251, 0.06059693749677765, 2.303308721340681, 0.23328044441956935, 0.8125563004038147, 2.551208322430122, 0.1366504125307363, 0.936790518363348, 2.588043218716841, 1.4273411369538687, 1.8518072465294344, 2.5423813562446718, 0.964646590240472, 0.9299780948283732]"
Total RMSE Velocities,1.4763445324156712
