Metric,Values
RMSE States Per Variable,"[0.03923619429172601, 0.04398049248941741, 0.0021084290424105475, 0.0054092318898120925, 0.0032410755984032136, 0.002447243467185083, 0.0003375391373564367, 0.011508278875276412, 0.027919392147668292, 0.03048924915879773, 0.013000129913777428, 0.019210924094075377, 0.023190443959526918, 0.011174506042255864, 0.01128451618332241, 0.02086236083929463, 0.019989387330547365, 0.014581782614053075, 0.03411565211188857]"
Total RMSE States,0.021649106043176727
RMSE Velocities Per Variable,"[0.01590317087558901, 0.010591535527169297, 0.049412805153394974, 0.3572326777125424, 0.05379528967209495, 0.09969034361208186, 0.3511088073948867, 0.07590460072348211, 0.10084220084375005, 0.3005573716714546, 0.2542686287214502, 0.15329950170944895, 0.4858582156127018, 0.22742374070660368, 0.34361004512150256, 0.5215563710486939, 1.0952698145027655, 2.104991045738953]"
Total RMSE Velocities,0.6132528028458759
