Metric,Values
RMSE States Per Variable,"[0.2707267806902911, 0.05020944894596651, 0.04985370631402315, 0.05457047967381829, 0.037071084013755806, 0.016792726580812694, 0.01129873044460907, 0.11579556191090173, 0.2241652587167823, 0.3723520395129158, 0.12951970141773708, 0.34122585635812996, 0.3501398478122325, 0.1067786328703045, 0.1780321003277542, 0.31923417272702354, 0.1093407359317701, 0.26749907964018216, 0.3293852583078147]"
Total RMSE States,0.21498930972975083
RMSE Velocities Per Variable,"[0.5198472865859645, 0.2006900501475948, 0.12737518248842963, 2.6742605598273, 1.632955863013455, 1.3033839425180949, 3.638539657315731, 0.4995682127885049, 5.965099274284333, 3.503997272541225, 2.4513067774553217, 2.508111384084842, 4.248844707159864, 6.352759174595224, 8.054710374787751, 2.8189706227594344, 6.295890802227731, 7.095340661284295]"
Total RMSE Velocities,4.127882995885282
