Metric,Values
RMSE States Per Variable,"[0.056902666139772205, 0.009592615515605394, 0.01897099539128162, 0.010793512883857263, 0.004899446896517559, 0.004582963070906667, 9.641412246061647e-05, 0.04914643476267313, 0.08183965448430301, 0.151847397023454, 0.10324334311402464, 0.10893854443994089, 0.19606015583441616, 0.04626458616755531, 0.054834692845880335, 0.09810486607909666, 0.11867896456422686, 0.09608411231486044, 0.24368583442379482]"
Total RMSE States,0.10116685520123499
RMSE Velocities Per Variable,"[0.04701428695940841, 0.02096699785285152, 0.020965666161662927, 0.7040687732884706, 0.001988108425466778, 0.10691693469658188, 0.6871955467622346, 0.30557660191060176, 0.09264811472976021, 1.0225236488942337, 0.27594563566457436, 0.6216478848451309, 0.3406192360980724, 0.13613601219362223, 0.18391764775438732, 0.5621270231422684, 0.07642283309197159, 0.15707348911319252]"
Total RMSE Velocities,0.4154958342673857
