Metric,Values
RMSE States Per Variable,"[0.10279015818180828, 0.06740879239827821, 0.033108332231736294, 0.023759942982751824, 0.022352422613942945, 0.011048841872317864, 0.001941822001293661, 0.08326043259436264, 0.12578490232441672, 0.24446341972056526, 0.0839728560199332, 0.1513855884118985, 0.21202740808165213, 0.06314114452032571, 0.08202695318158991, 0.1885382669563259, 0.0672791060208165, 0.1064378566694979, 0.22223041051185005]"
Total RMSE States,0.12276225514949238
RMSE Velocities Per Variable,"[0.05172787711948988, 0.1854137319914076, 1.0281476181026419, 2.1895647374792766, 0.799626389820955, 0.3631754216782436, 1.3683841171910305, 0.41161605169980986, 0.6120571091365117, 1.5311268488719394, 0.7141617343596098, 2.2386921155495267, 3.196343245314199, 1.3858650558872563, 1.8891782301070301, 4.008853291587648, 4.266116587747738, 1.7734661400210816]"
Total RMSE Velocities,1.9729325844873722
