Metric,Values
RMSE States Per Variable,"[0.14128029712856546, 0.040907928057137256, 0.07593017401573855, 0.08267356200001398, 0.03362880853564588, 0.02374555011963116, 0.00797332451895538, 0.2334259160484505, 0.490319459251762, 0.5870398910618448, 0.3558397290512572, 0.2906528514483628, 0.5201047028524168, 0.3596473280027531, 0.2699517581946055, 0.38810510255172487, 0.27418921209777897, 0.3233827838432712, 0.47493541706143616]"
Total RMSE States,0.3174971440405937
RMSE Velocities Per Variable,"[0.5434972092889733, 1.8246528143158127, 0.21037440147728295, 9.589366434992261, 5.2455380434417975, 6.045186810562087, 20.373726578382115, 9.49210223321233, 94.70828584964545, 18.426541565858084, 41.454769840695455, 41.27083854282143, 17.25926860881977, 14.502342843059552, 16.46023375933092, 48.252368414677484, 79.7625712146272, 7.19267886475847]"
Total RMSE Velocities,35.681526183956414
