Metric,Values
MSE States Per Variable,"[0.0019221414851680082, 0.0001987012847936362, 0.00025844058439707476, 1.247795720123991e-05, 1.5947412420913255e-05, 9.342580862784529e-06, 3.135051142132511e-10, 0.0011674222851150347, 0.0181689230017132, 0.018334904541513854, 0.0006943428695064817, 0.009285744849590489, 0.02177080766218824, 0.00015847939629340564, 0.007368906099112863, 0.010847257284279618, 0.00037000875527981483, 0.01951015429905901, 0.01788187542028533]"
Total MSE States,0.006735572530646637
MSE Velocities Per Variable,"[2.6656696006478766e-09, 7.393768344610764e-05, 0.0013557256901618666, 0.069837268721508, 0.0455861450590032, 0.0032084718591994083, 0.6094411582645964, 0.0414863295671779, 4.263981486268232, 0.06824780548001995, 0.04977580207032422, 0.0023502532584354125, 0.11060039025643928, 0.3827358019218333, 0.5014825001285353, 1.4417927954870164, 0.015238186722375612, 4.059722907371438]"
Total MSE Velocities,0.6481620538041896
