Metric,Values
RMSE States Per Variable,"[0.15450196002753522, 0.02190328266522807, 0.09407244659065103, 0.039236405705448965, 0.0422337119457699, 0.027556035526689743, 0.003579995938974521, 0.161480676310172, 0.3489942554517242, 0.6658919288893055, 0.1374798523837469, 0.3044859689995099, 0.6812673692814544, 0.26811157033516264, 0.2482507620328439, 0.5267118624587768, 0.12134440875691546, 0.2364876532064461, 0.5344856787468826]"
Total RMSE States,0.3221295693272018
RMSE Velocities Per Variable,"[0.09404905951388048, 0.002734514266532442, 0.24666524433618134, 0.8554635405426011, 1.5695292026224383, 0.0844804187256885, 0.5785846423001734, 1.2139719237236282, 1.5747355257795301, 1.0580195610547376, 0.40633140606989643, 5.743837857928161, 1.3096215784495773, 1.0669095767194523, 0.7990542633531528, 1.3151062436309906, 1.100450386791335, 0.6080698357960496]"
Total RMSE Velocities,1.6438213264956956
