Metric,Values
RMSE States Per Variable,"[0.02467829716723088, 0.28973915675471923, 0.004678524550616449, 0.012864367867565996, 0.009490663426483527, 0.010001023575943126, 0.0019403515155977159, 0.03355923853886012, 0.039783287591979744, 0.09480462714025173, 0.02260760979652247, 0.036794777492663674, 0.07699711502123661, 0.06871927792020908, 0.061549484576946666, 0.03748888935367161, 0.03143603146978798, 0.039668550250601044, 0.039046986665407166]"
Total RMSE States,0.07895101123593955
RMSE Velocities Per Variable,"[0.06271397491519741, 0.09542835875686381, 0.06598117402039139, 1.7979028922046054, 0.20844144457454727, 0.22480447419412233, 2.099618935700743, 0.4093084255656979, 0.5193993975687858, 1.849370341286984, 1.1771006240552875, 1.5368130061446141, 2.3614573563181973, 0.843515916650007, 0.1662636336254975, 1.998609589506369, 0.9547310924408093, 1.2019182670387805]"
Total RMSE Velocities,1.2477374009623752
