Metric,Values
RMSE States Per Variable,"[0.10040823425942662, 0.08842703714736257, 0.014581646395987854, 0.0068612845540929465, 0.0035276459772583704, 0.0032022544368665905, 5.0681250224247984e-05, 0.0440716516188298, 0.09791420163857958, 0.15122039706628523, 0.04965774249169626, 0.05818814014097554, 0.10869971132257357, 0.023208619649356887, 0.036547663959318646, 0.08628829109260339, 0.06439454868782792, 0.06817289866120184, 0.14517732998148994]"
Total RMSE States,0.07589422887805868
RMSE Velocities Per Variable,"[0.025409417805200167, 0.025805911595838008, 0.031012920995316533, 0.330987868393781, 0.05211916519902222, 0.05558208171179361, 0.11032547541748287, 0.0492583115976815, 0.34252324211008, 0.2941736612639803, 0.05537966778669353, 0.10653383162058187, 0.2284820824132699, 0.34372456055880957, 0.32101224570554204, 0.5127854826124574, 0.10435724409508995, 1.0493884699837053]"
Total RMSE Velocities,0.3332468174410108
