Metric,Values
RMSE States Per Variable,"[0.09591773578225753, 1.0227833457929596, 0.034891272825171675, 0.06693409170333299, 0.02333369568009042, 0.026060459318604987, 0.0049284571444601424, 0.09882572311368829, 0.07495667692885193, 0.21663073437339966, 0.0861106545885903, 0.16291360271488503, 0.34027882909529167, 0.18513792861209652, 0.06559102579276266, 0.15159938675352708, 0.1037009698784246, 0.19213553250112744, 0.375753592137573]"
Total RMSE States,0.2832808028780329
RMSE Velocities Per Variable,"[0.03373488622955746, 0.26630050792238974, 0.35035003754551214, 6.339720107649151, 0.6371626081306134, 0.2611537667773101, 7.210689358029625, 1.3381954541894001, 5.4630320080428785, 6.907562257570262, 0.12020457746820934, 1.345612954980266, 8.031651165413852, 0.38565963611054815, 1.9789148649558594, 7.234493902013724, 0.6444470525460677, 3.069765507471419]"
Total RMSE Velocities,4.114871581142679
