Metric,Values
RMSE States Per Variable,"[0.060370962994208355, 0.009520985545703315, 0.018779824485473925, 0.011284606713216301, 0.0068172550327314846, 0.004582103906479933, 0.0004979379939098252, 0.03402036131731357, 0.10125164935733358, 0.14392205201281955, 0.03406771175529934, 0.07925043850500987, 0.1321430578125171, 0.04483114094363732, 0.06330558471593761, 0.12304288605202884, 0.036912513451260315, 0.0844879360399353, 0.1391480301054518]"
Total RMSE States,0.07620222805929629
RMSE Velocities Per Variable,"[0.00514005148528405, 2.1203568715017225e-05, 0.011247280022445088, 0.7894785447040613, 0.20918198179261305, 0.00035110344354303706, 0.8080565482215813, 0.1489614665462591, 0.11189909658707373, 0.7711538258303111, 0.07146524033102855, 0.5113828965206342, 0.7976559795642937, 0.31926513391522365, 0.30888138436800333, 0.8129650484772984, 0.17037986534450716, 0.04459915158512796]"
Total RMSE Velocities,0.4559285001909071
